CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Orgao_Administracao;Numero_Membros;Numero_Membros_Remunerados;Valor_Maior_Remuneracao;Valor_Menor_Remuneracao;Valor_Medio_Remuneracao;Observacao
00.000.208/0001-00;2025-12-31;6;149564;BRB BANCO DE BRASILIA S.A.;2023-01-01;2023-12-31;Conselho de Administração;9.00;7.00;135419.04;135419.04;135419.04;
00.000.208/0001-00;2025-12-31;6;149564;BRB BANCO DE BRASILIA S.A.;2023-01-01;2023-12-31;Conselho Fiscal;5.00;4.92;135419.04;11284.92;135327.29;
00.000.208/0001-00;2025-12-31;6;149564;BRB BANCO DE BRASILIA S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;10.00;9.50;1104517.20;16888.92;906629.32;
00.000.208/0001-00;2025-12-31;6;149564;BRB BANCO DE BRASILIA S.A.;2022-01-01;2022-12-31;Conselho Fiscal;5.00;5.00;127838.16;127838.16;127838.16;
00.000.208/0001-00;2025-12-31;6;149564;BRB BANCO DE BRASILIA S.A.;2022-01-01;2022-12-31;Conselho de Administração;9.00;7.58;127838.16;10653.18;111029.18;
00.000.208/0001-00;2025-12-31;6;149564;BRB BANCO DE BRASILIA S.A.;2024-01-01;2024-12-31;Conselho de Administração;9.00;7.00;141145.32;141145.32;141145.32;Valor médio calculado considerando verbas rescisórias pagas ao longo do exercício.
00.000.208/0001-00;2025-12-31;6;149564;BRB BANCO DE BRASILIA S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;10.00;8.67;1023169.67;3828.75;689189.73;Valor médio calculado considerando verbas rescisórias pagas ao longo do exercício.
00.000.208/0001-00;2025-12-31;6;149564;BRB BANCO DE BRASILIA S.A.;2024-01-01;2024-12-31;Conselho Fiscal;5.00;4.92;141145.33;11762.11;117142.97;Valor médio calculado considerando verbas rescisórias pagas ao longo do exercício.
00.001.180/0001-26;2025-12-31;2;149095;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2024-01-01;2024-12-31;Conselho Fiscal;4.33;4.33;151909.09;151009.09;151045.96;O valor de honorários distribuído entre os membros do Conselho de Fiscal é idêntico para todos os membros. O valor da menor remuneração anual individual foi apurado com a exclusão dos membros do respectivo órgão que tenham exercido o cargo por menos de 12 meses, conforme disposto no Ofício-Circular /ANUAL-2025-CVM/SEP. O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2025- CVM/SEP.
00.001.180/0001-26;2025-12-31;2;149095;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2024-01-01;2024-12-31;Diretoria Estatutária;11.75;11.75;15665277.60;3175319.01;5196344.85;Com a aprovação do Novo Modelo de Remuneração da Eletrobras Privatizada, a remuneração para cada um dos membros da Diretoria Estatutária passou a observar a aderência ao mercado. O valor da menor remuneração anual individual foi apurado com a exclusão dos membros do respectivo órgão que tenham exercido o cargo por menos de 12 meses, conforme disposto no Ofício-Circular /ANUAL-2025-CVM/SEP. O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2025-CVM/SEP.
00.001.180/0001-26;2025-12-31;2;149095;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2024-01-01;2024-12-31;Conselho de Administração;9.00;7.00;1793282.64;1673282.64;1620246.29;Com a aprovação do Novo Modelo de Remuneração da Eletrobras Privatizada, a remuneração para o Conselho de Administração passou a observar a aderência ao mercado. O valor do Presidente do Conselho de Administração é distinto dos demais Conselheiros, os quais recebem idênticos patamares de remuneração, com exceção daquela específica por Participação em Comitês. O valor da menor remuneração anual individual foi apurado com a exclusão dos membros do respectivo órgão que tenham exercido o cargo por menos de 12 meses, conforme disposto no Ofício-Circular /ANUAL-2025-CVM/SEP. O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2025- CVM/SEP.
00.001.180/0001-26;2025-12-31;2;149095;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2023-01-01;2023-12-31;Conselho Fiscal;5.00;5.00;146403.75;146403.75;143009.09;O valor de honorários distribuído entre os membros do Conselho de Fiscal é idêntico para todos os membros. O valor da menor remuneração anual individual foi apurado com a exclusão dos membros do respectivo órgão que tenham exercido o cargo por menos de 12 meses, conforme disposto no Ofício-Circular /ANUAL-2024-CVM/SEP. O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2024- CVM/SEP.
00.001.180/0001-26;2025-12-31;2;149095;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2023-01-01;2023-12-31;Diretoria Estatutária;9.83;9.83;19342394.01;4960915.75;8097498.46;Com a aprovação do Novo Modelo de Remuneração da Eletrobras Privatizada, a remuneração para cada um dos membros da Diretoria Estatutária passou a observar a aderência ao mercado. O valor da menor remuneração anual individual foi apurado com a exclusão dos membros do respectivo órgão que tenham exercido o cargo por menos de 12 meses, conforme disposto no Ofício-Circular /ANUAL-2024-CVM/SEP. O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2024-CVM/SEP.
00.001.180/0001-26;2025-12-31;2;149095;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2023-01-01;2023-12-31;Conselho de Administração;9.00;8.17;1673270.64;1573274.64;1473159.39;Com a aprovação do Novo Modelo de Remuneração da Eletrobras Privatizada, a remuneração para o Conselho de Administração passou a observar a aderência ao mercado. O valor do Presidente do Conselho de Administração é distinto dos demais conselheiros, os quais recebem idênticos patamares de remuneração, com exceção daquela específica por Participação em Comitês. O valor da menor remuneração anual individual foi apurado com a exclusão dos membros do respectivo órgão que tenham exercido o cargo por menos de 12 meses, conforme disposto no Ofício-Circular /ANUAL-2024-CVM/SEP. O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2024- CVM/SEP.
00.001.180/0001-26;2025-12-31;2;149095;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2022-01-01;2022-12-31;Conselho Fiscal;4.92;4.92;75859.76;68045.01;76468.72;O valor de honorários distribuído entre os membros do Conselho de Fiscal é idêntico para todos os membros. O valor da menor remuneração anual individual foi apurado com a exclusão dos membros do respectivo órgão que tenham exercido o cargo por menos de 12 meses, conforme disposto no Ofício-Circular /ANUAL-2024-CVM/SEP. O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2024- CVM/SEP.
00.001.180/0001-26;2025-12-31;2;149095;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2022-01-01;2022-12-31;Diretoria Estatutária;6.33;6.33;1226608.08;928300.79;1277250.95;Com a aprovação do Novo Modelo de Remuneração da Eletrobras Privatizada, a remuneração para cada um dos membros da Diretoria Estatutária passou a observar a aderência ao mercado. O valor da menor remuneração anual individual foi apurado com a exclusão dos membros do respectivo órgão que tenham exercido o cargo por menos de 12 meses, conforme disposto no Ofício-Circular /ANUAL-2024-CVM/SEP. O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2024-CVM/SEP.
00.001.180/0001-26;2025-12-31;2;149095;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2022-01-01;2022-12-31;Conselho de Administração;9.58;7.00;65284.32;65284.32;65689.20;Com a aprovação do Novo Modelo de Remuneração da Eletrobras Privatizada, a remuneração para o Conselho de Administração passou a observar a aderência ao mercado.O valor do Presidente do Conselho de Administração é distinto dos demais conselheiros, os quais recebem idênticos patamares de remuneração, com exceção daquela específica por Participação em Comitês. O valor da menor remuneração anual individual foi apurado com a exclusão dos membros do respectivo órgão que tenham exercido o cargo por menos de 12 meses, conforme disposto no Ofício-Circular /ANUAL-2024-CVM/SEP. O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2024- CVM/SEP.
00.070.698/0001-11;2025-12-31;2;149313;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2022-01-01;2022-12-31;Conselho Fiscal;5.00;5.00;74410.00;74410.00;74410.00;
00.070.698/0001-11;2025-12-31;2;149313;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2022-01-01;2022-12-31;Diretoria Estatutária;4.00;4.00;199964.00;115850.00;153787.00;
00.070.698/0001-11;2025-12-31;2;149313;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2022-01-01;2022-12-31;Conselho de Administração;9.00;9.00;74410.00;74410.00;74410.00;
00.070.698/0001-11;2025-12-31;2;149313;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2023-01-01;2023-12-31;Conselho de Administração;9.00;9.00;88242.00;88242.00;88242.00;
00.070.698/0001-11;2025-12-31;2;149313;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2023-01-01;2023-12-31;Diretoria Estatutária;4.00;4.00;425547.00;382992.00;393631.00;
00.070.698/0001-11;2025-12-31;2;149313;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2023-01-01;2023-12-31;Conselho Fiscal;5.00;5.00;88242.00;88242.00;88242.00;
00.070.698/0001-11;2025-12-31;2;149313;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2024-01-01;2024-12-31;Conselho de Administração;9.00;9.00;96589.00;96589.00;96589.00;
00.070.698/0001-11;2025-12-31;2;149313;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2024-01-01;2024-12-31;Diretoria Estatutária;4.00;4.00;522103.00;469893.00;495998.00;
00.070.698/0001-11;2025-12-31;2;149313;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2024-01-01;2024-12-31;Conselho Fiscal;5.00;5.00;96589.00;96589.00;96589.00;
00.080.671/0001-00;2025-12-31;1;148672;CARAMURU ALIMENTOS S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;12.00;12.00;1527318.61;1027013.74;1153401.15;N/A
00.080.671/0001-00;2025-12-31;1;148672;CARAMURU ALIMENTOS S.A.;2024-01-01;2024-12-31;Conselho de Administração;9.00;9.00;2387412.32;107586.24;694770.25;Inclusão de 01 novos membros
00.080.671/0001-00;2025-12-31;1;148672;CARAMURU ALIMENTOS S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;12.00;12.00;1411569.41;1053571.32;1178916.90;
00.080.671/0001-00;2025-12-31;1;148672;CARAMURU ALIMENTOS S.A.;2023-01-01;2023-12-31;Conselho de Administração;9.00;9.00;3168511.89;65456.17;852488.59;
00.080.671/0001-00;2025-12-31;1;148672;CARAMURU ALIMENTOS S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;12.00;12.00;1765759.21;745030.47;1133747.42;
00.080.671/0001-00;2025-12-31;1;148672;CARAMURU ALIMENTOS S.A.;2022-01-01;2022-12-31;Conselho de Administração;7.00;7.00;28643030.24;87231.31;944861.63;
00.194.724/0001-13;2025-12-31;1;148833;AUREN OPERAÇÕES S.A.;2022-01-01;2022-12-31;Conselho de Administração;3.00;1.00;355200.00;355200.00;355200.00;Foram excluídos dos cálculos de remuneração mínima os administradores que exerceram o cargo por menos de 12 meses. Maior valor contempla verbas relativas aos honorários, férias, 13º e retorno de férias. Além disso, os valores: (i) valor da maior remuneração (ii) valor da menor remuneração e (iii) valor médio da remuneração foram considerados sem encargos de INSS.Permanência no cargo do membro com maior remuneração: 12 meses. 
00.194.724/0001-13;2025-12-31;1;148833;AUREN OPERAÇÕES S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;2.00;0.00;0.00;0.00;0.00;Foram excluídos dos cálculos de remuneração mínima os administradores que exerceram o cargo por menos de 12 meses. Maior valor contempla verbas relativas aos honorários, férias, 13º e retorno de férias. Permanência no cargo do membro com maior remuneração: 12 meses.
00.194.724/0001-13;2025-12-31;1;148833;AUREN OPERAÇÕES S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;4.00;0.00;0.00;0.00;0.00;Foram excluídos dos cálculos de remuneração mínima os administradores que exerceram o cargo por menos de 12 meses. Maior valor contempla verbas relativas aos honorários, férias, 13º e retorno de férias. Permanência no cargo do membro com maior remuneração: 12 meses.
00.194.724/0001-13;2025-12-31;1;148833;AUREN OPERAÇÕES S.A.;2024-01-01;2024-12-31;Conselho de Administração;3.00;1.00;355200.00;355200.00;355200.00;Foram excluídos dos cálculos de remuneração mínima os administradores que exerceram o cargo por menos de 12 meses. Maior valor contempla verbas relativas aos honorários, férias, 13º e retorno de férias. Além disso, os valores: (i) valor da maior remuneração (ii) valor da menor remuneração e (iii) valor médio da remuneração foram considerados sem encargos de INSS.Permanência no cargo do membro com maior remuneração: 12 meses.
00.194.724/0001-13;2025-12-31;1;148833;AUREN OPERAÇÕES S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;2.00;0.00;0.00;0.00;0.00;Foram excluídos dos cálculos de remuneração mínima os administradores que exerceram o cargo por menos de 12 meses. Maior valor contempla verbas relativas aos honorários, férias, 13º e retorno de férias. Permanência no cargo do membro com maior remuneração: 12 meses.
00.194.724/0001-13;2025-12-31;1;148833;AUREN OPERAÇÕES S.A.;2023-01-01;2023-12-31;Conselho de Administração;3.00;1.00;358160.00;358160.00;358160.00;Foram excluídos dos cálculos de remuneração mínima os administradores que exerceram o cargo por menos de 12 meses. Maior valor contempla verbas relativas aos honorários, férias, 13º e retorno de férias. Além disso, os valores: (i) valor da maior remuneração (ii) valor da menor remuneração e (iii) valor médio da remuneração foram considerados sem encargos de INSS.Permanência no cargo do membro com maior remuneração: 12 meses.
00.242.184/0001-04;2025-12-31;2;149027;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2024-01-01;2024-12-31;Conselho de Administração;8.33;3.33;493216.00;60000.00;286876.80;
00.242.184/0001-04;2025-12-31;2;149027;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;3.00;3.00;3942517.00;1075000.00;2448772.33;
00.242.184/0001-04;2025-12-31;2;149027;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;3.33;3.33;4942517.00;550387.38;2057552.35;
00.242.184/0001-04;2025-12-31;2;149027;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2023-01-01;2023-12-31;Conselho de Administração;8.33;3.00;480000.00;120000.00;281652.00;
00.242.184/0001-04;2025-12-31;2;149027;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;3.00;1.00;2525000.00;2525000.00;2525000.00;
00.242.184/0001-04;2025-12-31;2;149027;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2022-01-01;2022-12-31;Conselho de Administração;6.00;2.00;108000.00;54666.68;81333.34;
00.336.701/0001-04;2025-12-31;1;148835;TELEC BRASILEIRAS S.A. TELEBRAS;2022-01-01;2022-12-31;Conselho Fiscal;5.00;5.00;48072.22;38924.90;44945.40;
00.336.701/0001-04;2025-12-31;1;148835;TELEC BRASILEIRAS S.A. TELEBRAS;2022-01-01;2022-12-31;Conselho de Administração;8.00;7.00;48266.84;42166.54;46281.27;
00.336.701/0001-04;2025-12-31;1;148835;TELEC BRASILEIRAS S.A. TELEBRAS;2023-01-01;2023-12-31;Conselho Fiscal;5.00;5.00;49862.76;29915.66;30770.12;
00.336.701/0001-04;2025-12-31;1;148835;TELEC BRASILEIRAS S.A. TELEBRAS;2023-01-01;2023-12-31;Diretoria Estatutária;5.00;5.00;651223.63;347556.80;537803.80;
00.336.701/0001-04;2025-12-31;1;148835;TELEC BRASILEIRAS S.A. TELEBRAS;2023-01-01;2023-12-31;Conselho de Administração;8.00;7.00;51931.60;26632.68;34753.65;
00.336.701/0001-04;2025-12-31;1;148835;TELEC BRASILEIRAS S.A. TELEBRAS;2024-01-01;2024-12-31;Conselho de Administração;8.00;7.00;50913.72;50913.72;50913.72;
00.336.701/0001-04;2025-12-31;1;148835;TELEC BRASILEIRAS S.A. TELEBRAS;2024-01-01;2024-12-31;Diretoria Estatutária;5.00;5.00;506834.04;460758.12;469973.28;
00.336.701/0001-04;2025-12-31;1;148835;TELEC BRASILEIRAS S.A. TELEBRAS;2024-01-01;2024-12-31;Conselho Fiscal;5.00;5.00;50913.72;50913.72;50913.72;
00.359.742/0001-08;2025-12-31;2;149397;FICTOR ALIMENTOS S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;3.08;0.00;0.00;0.00;0.00;
00.359.742/0001-08;2025-12-31;2;149397;FICTOR ALIMENTOS S.A.;2024-01-01;2024-12-31;Conselho de Administração;4.92;0.08;35000.00;35000.00;35000.00;Nos termos do item 8.1 alínea (c) deste Formulário de Referência, com exceção do membro independente, que recebeu remuneração fixa pelo exercício do cargo em dezembro de 2024, os demais membros do Conselho de Administração da Companhia renunciaram a toda e qualquer remuneração a que faziam jus pelo exercício dos seus respectivos cargos (incluindo quaisquer benefícios, verbas de representação ou participação nos resultados da Companhia), no exercício encerrado em 31/12/2024.
00.359.742/0001-08;2025-12-31;2;149397;FICTOR ALIMENTOS S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;3.00;0.00;0.00;0.00;0.00;
00.359.742/0001-08;2025-12-31;2;149397;FICTOR ALIMENTOS S.A.;2023-01-01;2023-12-31;Conselho de Administração;5.00;0.00;0.00;0.00;0.00;
00.359.742/0001-08;2025-12-31;2;149397;FICTOR ALIMENTOS S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;3.00;0.00;0.00;0.00;0.00;
00.359.742/0001-08;2025-12-31;2;149397;FICTOR ALIMENTOS S.A.;2022-01-01;2022-12-31;Conselho de Administração;4.00;0.00;0.00;0.00;0.00;
00.644.907/0001-93;2025-12-31;1;148623;INVESTCO S.A.;2022-01-01;2022-12-31;Conselho de Administração;3.00;1.00;76003.00;76003.00;76003.00;N/A
00.644.907/0001-93;2025-12-31;1;148623;INVESTCO S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;7.00;3.00;259717.00;257736.00;331863.00;N/A
00.644.907/0001-93;2025-12-31;1;148623;INVESTCO S.A.;2022-01-01;2022-12-31;Conselho Fiscal;5.00;5.00;29995.00;29995.00;30995.00;N/A
00.644.907/0001-93;2025-12-31;1;148623;INVESTCO S.A.;2023-01-01;2023-12-31;Conselho de Administração;3.00;1.00;76003.00;76003.00;76003.00;N/A
00.644.907/0001-93;2025-12-31;1;148623;INVESTCO S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;7.00;3.00;485581.00;259717.00;349637.00;N/A
00.644.907/0001-93;2025-12-31;1;148623;INVESTCO S.A.;2023-01-01;2023-12-31;Conselho Fiscal;5.00;5.00;29995.00;29995.00;30062.00;N/A
00.644.907/0001-93;2025-12-31;1;148623;INVESTCO S.A.;2024-01-01;2024-12-31;Conselho Fiscal;5.00;5.00;29995.00;29995.00;29995.00;
00.644.907/0001-93;2025-12-31;1;148623;INVESTCO S.A.;2024-01-01;2024-12-31;Conselho de Administração;3.00;1.00;76003.00;760.03;760.03;
00.743.065/0001-27;2025-12-31;2;149354;LITEL PARTICIPACOES S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;2.00;2.00;78497.63;78497.63;78497.63;
00.743.065/0001-27;2025-12-31;2;149354;LITEL PARTICIPACOES S.A.;2024-01-01;2024-12-31;Conselho de Administração;3.66;3.66;129651.33;108255.74;129651.33;
00.743.065/0001-27;2025-12-31;2;149354;LITEL PARTICIPACOES S.A.;2023-01-01;2023-12-31;Conselho de Administração;4.00;4.00;131159.06;128876.71;131159.06;
00.743.065/0001-27;2025-12-31;2;149354;LITEL PARTICIPACOES S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;2.00;2.00;79243.20;79243.20;79243.20;
00.743.065/0001-27;2025-12-31;2;149354;LITEL PARTICIPACOES S.A.;2022-01-01;2022-12-31;Conselho de Administração;4.00;2.00;132072.00;132072.00;132072.00;
00.743.065/0001-27;2025-12-31;2;149354;LITEL PARTICIPACOES S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;2.00;2.00;79243.20;79243.20;79243.20;
00.776.574/0001-56;2025-12-31;1;149004;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2024-01-01;2024-12-31;Conselho Fiscal;3.67;3.67;357144.00;119048.00;218255.00;
00.776.574/0001-56;2025-12-31;1;149004;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2024-01-01;2024-12-31;Diretoria Estatutária;2.00;2.00;16730412.00;7400000.00;12065206.00;
00.776.574/0001-56;2025-12-31;1;149004;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2024-01-01;2024-12-31;Conselho de Administração;7.00;7.00;474667.00;40000.00;211000.00;
00.776.574/0001-56;2025-12-31;1;149004;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2023-01-01;2023-12-31;Conselho Fiscal;4.50;4.50;315636.00;69445.00;236853.00;
00.776.574/0001-56;2025-12-31;1;149004;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2023-01-01;2023-12-31;Diretoria Estatutária;3.50;3.50;16134259.00;88615.00;3307012.00;Em linha com a recomendação do Ofício Circular CVM SEP 2024, e considerando que no exercício social encerrado em 31.12.2023, não houve diretores que tenham permanecido no cargo por pelo menos 12 meses, o número aqui indicado considera a menor remuneração efetivamente paga pela companhia no exercício social encerrado em 31.12.2023, a qual se refere a remuneração de um diretor que permaneceu no cargo por 11 dias.
00.776.574/0001-56;2025-12-31;1;149004;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2023-01-01;2023-12-31;Conselho de Administração;7.00;7.00;280000.00;120000.00;245000.00;
00.776.574/0001-56;2025-12-31;1;149004;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2022-01-01;2022-12-31;Conselho Fiscal;3.00;3.00;193880.00;38800.00;193880.00;
00.776.574/0001-56;2025-12-31;1;149004;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2022-01-01;2022-12-31;Diretoria Estatutária;4.00;4.00;17853385.00;8312758.00;12403023.00;
00.776.574/0001-56;2025-12-31;1;149004;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2022-01-01;2022-12-31;Conselho de Administração;7.00;7.00;720000.00;540000.00;651429.00;
00.864.214/0001-06;2025-12-31;2;149523;ENERGISA S.A.;2022-01-01;2022-12-31;Conselho de Administração;9.67;6.67;277200.00;14080.00;235160.97;(1) A menor remuneração individual é do Conselheiro Administrativo que recebe 0,68% na Energisa S.A. e o restante de sua remuneração está rateada nas demais empresas do Grupo.(2) O número de membros de cada órgão foi apurado da forma especificada no ofício Circular/Anual-2023-CVM/SEP, disponível na seção 8.20.
00.864.214/0001-06;2025-12-31;2;149523;ENERGISA S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;5.00;5.00;7094394.15;70652.36;1485107.55;(1)O Valor da menor remuneração individual foi apurado com a exclusão de membros que exerceram o cargo por menos de 12 meses(2)A menor remuneração individual é do Diretor que recebe 2,24% na Energisa S.A. e o restante de sua remuneração está rateada nas demais empresas do Grupo.(3)O número de membros de cada órgão foi apurado da forma especificada no ofício Circular/Anual-2023-CVM/SEP, disponível na seção 8.20.
00.864.214/0001-06;2025-12-31;2;149523;ENERGISA S.A.;2022-01-01;2022-12-31;Conselho Fiscal;7.33;3.67;75953.74;75953.74;75953.74;(1) O número de membros de cada órgão foi apurado da forma especificada no ofício Circular/Anual-2023-CVM/SEP, disponível na seção 8.20.
