CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Orgao_Administracao;Quantidade_Total_Membros;Quantidade_Membros_Remunerados;Bonus_Valor_Minimo;Bonus_Valor_Maximo;Bonus_Valor_Metas_Atingidas;Bonus_Valor_Efetivo;Participacao_Valor_Minimo;Participacao_Valor_Maximo;Participacao_Valor_Metas_Atingidas;Participacao_Valor_Efetivo
00.000.000/0001-91;2025-12-31;2;149403;BCO BRASIL S.A.;2025-01-01;2025-12-31;Conselho Fiscal;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.000.000/0001-91;2025-12-31;2;149403;BCO BRASIL S.A.;2025-01-01;2025-12-31;Diretoria Estatutária;33.00;33.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.000.208/0001-00;2025-12-31;6;149564;BRB BANCO DE BRASILIA S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;10.00;9.67;0.00;0.00;0.00;0.00;0.00;0.00;1843586.38;0.00
00.000.208/0001-00;2025-12-31;6;149564;BRB BANCO DE BRASILIA S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;10.00;8.25;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3966908.81
00.000.208/0001-00;2025-12-31;6;149564;BRB BANCO DE BRASILIA S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;10.00;8.67;0.00;0.00;0.00;0.00;0.00;1661807.89;1661807.89;0.00
00.001.180/0001-26;2025-12-31;2;149095;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2025-01-01;2025-12-31;Conselho de Administração;10.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.001.180/0001-26;2025-12-31;2;149095;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2025-01-01;2025-12-31;Diretoria Estatutária;12.00;12.00;0.00;30575974.00;30575974.00;0.00;0.00;0.00;0.00;0.00
00.001.180/0001-26;2025-12-31;2;149095;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2025-01-01;2025-12-31;Conselho Fiscal;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.001.180/0001-26;2025-12-31;2;149095;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2024-01-01;2024-12-31;Conselho de Administração;9.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.001.180/0001-26;2025-12-31;2;149095;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2024-01-01;2024-12-31;Diretoria Estatutária;11.75;11.75;0.00;29395950.00;29395950.00;25194363.00;0.00;0.00;0.00;0.00
00.001.180/0001-26;2025-12-31;2;149095;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2024-01-01;2024-12-31;Conselho Fiscal;4.33;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.001.180/0001-26;2025-12-31;2;149095;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2023-01-01;2023-12-31;Conselho de Administração;9.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.001.180/0001-26;2025-12-31;2;149095;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2023-01-01;2023-12-31;Conselho Fiscal;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.001.180/0001-26;2025-12-31;2;149095;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2023-01-01;2023-12-31;Diretoria Estatutária;9.83;9.83;0.00;35157652.99;35157652.99;35157652.99;0.00;0.00;0.00;0.00
00.001.180/0001-26;2025-12-31;2;149095;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2022-01-01;2022-12-31;Conselho de Administração;9.58;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.001.180/0001-26;2025-12-31;2;149095;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2022-01-01;2022-12-31;Conselho Fiscal;4.92;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.001.180/0001-26;2025-12-31;2;149095;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2022-01-01;2022-12-31;Diretoria Estatutária;6.33;6.33;0.00;3575071.59;3575071.59;1671703.65;0.00;0.00;0.00;0.00
00.080.671/0001-00;2025-12-31;1;148672;CARAMURU ALIMENTOS S.A.;2024-01-01;2024-12-31;Conselho de Administração;9.00;9.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.080.671/0001-00;2025-12-31;1;148672;CARAMURU ALIMENTOS S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;12.00;12.00;0.00;0.00;0.00;0.00;1231438.02;9851504.16;7388628.12;2600639.81
00.080.671/0001-00;2025-12-31;1;148672;CARAMURU ALIMENTOS S.A.;2023-01-01;2023-12-31;Conselho de Administração;9.00;9.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.080.671/0001-00;2025-12-31;1;148672;CARAMURU ALIMENTOS S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;12.00;12.00;0.00;0.00;0.00;0.00;1168692.49;9349539.90;7012154.93;4573932.19
00.080.671/0001-00;2025-12-31;1;148672;CARAMURU ALIMENTOS S.A.;2022-01-01;2022-12-31;Conselho de Administração;7.00;7.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.080.671/0001-00;2025-12-31;1;148672;CARAMURU ALIMENTOS S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;12.00;12.00;0.00;0.00;0.00;0.00;1023082.84;8184662.72;6138497.04;8330094.25
00.242.184/0001-04;2025-12-31;2;149027;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2025-01-01;2025-12-31;Conselho de Administração;7.33;1.33;0.00;0.00;0.00;0.00;0.00;1000000.00;1000000.00;0.00
00.242.184/0001-04;2025-12-31;2;149027;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2025-01-01;2025-12-31;Diretoria Estatutária;3.00;3.00;0.00;0.00;0.00;0.00;0.00;4600000.00;4600000.00;0.00
00.242.184/0001-04;2025-12-31;2;149027;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2024-01-01;2024-12-31;Conselho de Administração;8.33;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.242.184/0001-04;2025-12-31;2;149027;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;3.00;3.00;0.00;0.00;0.00;0.00;0.00;5492323.95;5492323.95;3750000.00
00.242.184/0001-04;2025-12-31;2;149027;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2023-01-01;2023-12-31;Conselho de Administração;8.33;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.242.184/0001-04;2025-12-31;2;149027;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;3.33;1.00;0.00;0.00;0.00;0.00;0.00;8590275.00;8590275.00;300000.00
00.242.184/0001-04;2025-12-31;2;149027;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2022-01-01;2022-12-31;Conselho de Administração;6.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.242.184/0001-04;2025-12-31;2;149027;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;3.00;3.00;0.00;0.00;0.00;0.00;0.00;6000000.00;6000000.00;0.00
00.336.701/0001-04;2025-12-31;1;148835;TELEC BRASILEIRAS S.A. TELEBRAS;2025-01-01;2025-12-31;Diretoria Estatutária;5.00;5.00;102640.21;307920.48;205280.42;0.00;0.00;0.00;0.00;0.00
00.336.701/0001-04;2025-12-31;1;148835;TELEC BRASILEIRAS S.A. TELEBRAS;2024-01-01;2024-12-31;Diretoria Estatutária;5.00;5.00;97911.11;293733.32;195822.21;185052.02;0.00;0.00;0.00;0.00
00.336.701/0001-04;2025-12-31;1;148835;TELEC BRASILEIRAS S.A. TELEBRAS;2023-01-01;2023-12-31;Diretoria Estatutária;5.00;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.359.742/0001-08;2025-12-31;2;149397;FICTOR ALIMENTOS S.A.;2025-01-01;2025-12-31;Conselho de Administração;4.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.359.742/0001-08;2025-12-31;2;149397;FICTOR ALIMENTOS S.A.;2025-01-01;2025-12-31;Diretoria Estatutária;4.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.359.742/0001-08;2025-12-31;2;149397;FICTOR ALIMENTOS S.A.;2025-01-01;2025-12-31;Conselho Fiscal;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.359.742/0001-08;2025-12-31;2;149397;FICTOR ALIMENTOS S.A.;2024-01-01;2024-12-31;Conselho de Administração;4.92;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.359.742/0001-08;2025-12-31;2;149397;FICTOR ALIMENTOS S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;3.08;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.359.742/0001-08;2025-12-31;2;149397;FICTOR ALIMENTOS S.A.;2024-01-01;2024-12-31;Conselho Fiscal;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.359.742/0001-08;2025-12-31;2;149397;FICTOR ALIMENTOS S.A.;2023-01-01;2023-12-31;Conselho de Administração;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.359.742/0001-08;2025-12-31;2;149397;FICTOR ALIMENTOS S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.359.742/0001-08;2025-12-31;2;149397;FICTOR ALIMENTOS S.A.;2023-01-01;2023-12-31;Conselho Fiscal;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.359.742/0001-08;2025-12-31;2;149397;FICTOR ALIMENTOS S.A.;2022-01-01;2022-12-31;Conselho de Administração;4.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.359.742/0001-08;2025-12-31;2;149397;FICTOR ALIMENTOS S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.359.742/0001-08;2025-12-31;2;149397;FICTOR ALIMENTOS S.A.;2022-01-01;2022-12-31;Conselho Fiscal;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.644.907/0001-93;2025-12-31;1;148623;INVESTCO S.A.;2025-01-01;2025-12-31;Conselho de Administração;3.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.644.907/0001-93;2025-12-31;1;148623;INVESTCO S.A.;2025-01-01;2025-12-31;Diretoria Estatutária;7.00;3.00;0.00;412835.00;258022.00;0.00;0.00;0.00;0.00;0.00
00.644.907/0001-93;2025-12-31;1;148623;INVESTCO S.A.;2025-01-01;2025-12-31;Conselho Fiscal;5.00;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.644.907/0001-93;2025-12-31;1;148623;INVESTCO S.A.;2024-01-01;2024-12-31;Conselho de Administração;3.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.644.907/0001-93;2025-12-31;1;148623;INVESTCO S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;7.00;3.00;0.00;412835.00;258022.00;0.00;0.00;0.00;0.00;0.00
00.644.907/0001-93;2025-12-31;1;148623;INVESTCO S.A.;2024-01-01;2024-12-31;Conselho Fiscal;5.00;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.644.907/0001-93;2025-12-31;1;148623;INVESTCO S.A.;2023-01-01;2023-12-31;Conselho de Administração;3.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.644.907/0001-93;2025-12-31;1;148623;INVESTCO S.A.;2023-01-01;2023-12-31;Conselho Fiscal;5.00;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.644.907/0001-93;2025-12-31;1;148623;INVESTCO S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;7.00;3.00;0.00;384187.00;240117.00;176178.00;0.00;0.00;0.00;0.00
00.644.907/0001-93;2025-12-31;1;148623;INVESTCO S.A.;2022-01-01;2022-12-31;Conselho de Administração;3.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.644.907/0001-93;2025-12-31;1;148623;INVESTCO S.A.;2022-01-01;2022-12-31;Conselho Fiscal;5.00;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.644.907/0001-93;2025-12-31;1;148623;INVESTCO S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;7.00;3.00;0.00;368621.00;230388.00;154548.00;0.00;0.00;0.00;0.00
00.743.065/0001-27;2025-12-31;2;149354;LITEL PARTICIPACOES S.A.;2022-01-01;2022-12-31;Conselho de Administração;4.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.743.065/0001-27;2025-12-31;2;149354;LITEL PARTICIPACOES S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;2.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.776.574/0001-56;2025-12-31;1;149004;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2024-01-01;2024-12-31;Conselho de Administração;7.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.776.574/0001-56;2025-12-31;1;149004;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2024-01-01;2024-12-31;Conselho Fiscal;3.67;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.776.574/0001-56;2025-12-31;1;149004;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2024-01-01;2024-12-31;Diretoria Estatutária;2.00;2.00;0.00;4666672.00;4666672.00;0.00;0.00;0.00;0.00;0.00
00.776.574/0001-56;2025-12-31;1;149004;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2023-01-01;2023-12-31;Diretoria Estatutária;3.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.776.574/0001-56;2025-12-31;1;149004;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2023-01-01;2023-12-31;Conselho de Administração;7.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.776.574/0001-56;2025-12-31;1;149004;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2023-01-01;2023-12-31;Conselho Fiscal;4.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.776.574/0001-56;2025-12-31;1;149004;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2022-01-01;2022-12-31;Diretoria Estatutária;4.00;4.00;0.00;15000000.00;15000000.00;10761000.00;0.00;0.00;0.00;0.00
00.776.574/0001-56;2025-12-31;1;149004;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2022-01-01;2022-12-31;Conselho de Administração;7.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.776.574/0001-56;2025-12-31;1;149004;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2022-01-01;2022-12-31;Conselho Fiscal;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.776.574/0001-56;2025-12-31;1;149004;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2025-01-01;2025-12-31;Conselho de Administração;7.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.776.574/0001-56;2025-12-31;1;149004;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2025-01-01;2025-12-31;Conselho Fiscal;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.776.574/0001-56;2025-12-31;1;149004;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2025-01-01;2025-12-31;Diretoria Estatutária;4.00;4.00;0.00;19238672.00;19238672.00;0.00;0.00;0.00;0.00;0.00
00.864.214/0001-06;2025-12-31;2;149523;ENERGISA S.A.;2025-01-01;2025-12-31;Conselho de Administração;7.00;6.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.864.214/0001-06;2025-12-31;2;149523;ENERGISA S.A.;2025-01-01;2025-12-31;Diretoria Estatutária;5.00;5.00;0.00;0.00;0.00;0.00;1048938.89;5244694.43;4195755.55;0.00
00.864.214/0001-06;2025-12-31;2;149523;ENERGISA S.A.;2025-01-01;2025-12-31;Conselho Fiscal;10.00;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.864.214/0001-06;2025-12-31;2;149523;ENERGISA S.A.;2024-01-01;2024-12-31;Conselho de Administração;8.00;6.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.864.214/0001-06;2025-12-31;2;149523;ENERGISA S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;5.00;5.00;0.00;0.00;0.00;0.00;1037359.31;5186796.57;4149437.26;3332001.12
00.864.214/0001-06;2025-12-31;2;149523;ENERGISA S.A.;2024-01-01;2024-12-31;Conselho Fiscal;10.00;4.33;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.864.214/0001-06;2025-12-31;2;149523;ENERGISA S.A.;2023-01-01;2023-12-31;Conselho de Administração;10.00;6.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.864.214/0001-06;2025-12-31;2;149523;ENERGISA S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;5.00;5.00;0.00;0.00;0.00;0.00;987191.90;4935959.48;3948767.58;3678455.69
00.864.214/0001-06;2025-12-31;2;149523;ENERGISA S.A.;2023-01-01;2023-12-31;Conselho Fiscal;8.67;3.67;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.864.214/0001-06;2025-12-31;2;149523;ENERGISA S.A.;2022-01-01;2022-12-31;Conselho de Administração;9.67;6.67;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.864.214/0001-06;2025-12-31;2;149523;ENERGISA S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;5.00;5.00;0.00;0.00;0.00;0.00;932419.03;4662095.16;3729676.12;2748971.19
00.864.214/0001-06;2025-12-31;2;149523;ENERGISA S.A.;2022-01-01;2022-12-31;Conselho Fiscal;7.33;3.67;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.938.574/0001-05;2025-12-31;1;148325;CONC RIO-TERESOPOLIS S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;1.00;1.00;0.00;1238000.00;0.00;0.00;0.00;0.00;0.00;0.00
00.938.574/0001-05;2025-12-31;1;148325;CONC RIO-TERESOPOLIS S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;2.00;2.00;0.00;740000.00;0.00;0.00;0.00;0.00;0.00;0.00
00.938.574/0001-05;2025-12-31;1;148325;CONC RIO-TERESOPOLIS S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;2.00;2.00;0.00;2512000.00;0.00;0.00;0.00;0.00;0.00;0.00
00.938.574/0001-05;2025-12-31;1;148325;CONC RIO-TERESOPOLIS S.A.;2025-01-01;2025-12-31;Diretoria Estatutária;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.974.211/0001-25;2025-12-31;1;148975;LINHA AMARELA S.A. - LAMSA;2025-01-01;2025-12-31;Conselho de Administração;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01.083.200/0001-18;2025-12-31;2;149544;NEOENERGIA S.A.;2024-01-01;2024-12-31;Conselho de Administração;23.00;13.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01.083.200/0001-18;2025-12-31;2;149544;NEOENERGIA S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;10.00;10.00;0.00;0.00;27398878.00;23608512.00;0.00;0.00;0.00;0.00
01.083.200/0001-18;2025-12-31;2;149544;NEOENERGIA S.A.;2024-01-01;2024-12-31;Conselho Fiscal;10.00;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01.083.200/0001-18;2025-12-31;2;149544;NEOENERGIA S.A.;2023-01-01;2023-12-31;Conselho de Administração;23.00;13.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01.083.200/0001-18;2025-12-31;2;149544;NEOENERGIA S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;10.67;10.67;0.00;32212646.00;36400147.00;14911390.00;0.00;0.00;0.00;0.00
01.083.200/0001-18;2025-12-31;2;149544;NEOENERGIA S.A.;2023-01-01;2023-12-31;Conselho Fiscal;10.00;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01.083.200/0001-18;2025-12-31;2;149544;NEOENERGIA S.A.;2022-01-01;2022-12-31;Conselho de Administração;23.00;13.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01.083.200/0001-18;2025-12-31;2;149544;NEOENERGIA S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;10.42;10.42;0.00;31296120.00;31317991.00;53121049.00;0.00;0.00;0.00;0.00
01.083.200/0001-18;2025-12-31;2;149544;NEOENERGIA S.A.;2022-01-01;2022-12-31;Conselho Fiscal;10.00;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01.083.200/0001-18;2025-12-31;2;149544;NEOENERGIA S.A.;2025-01-01;2025-12-31;Conselho de Administração;23.00;13.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01.083.200/0001-18;2025-12-31;2;149544;NEOENERGIA S.A.;2025-01-01;2025-12-31;Conselho Fiscal;10.00;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01.083.200/0001-18;2025-12-31;2;149544;NEOENERGIA S.A.;2025-01-01;2025-12-31;Diretoria Estatutária;8.17;8.17;0.00;0.00;0.00;0.00;0.00;19725670.00;17423711.00;0.00
01.104.937/0001-70;2025-12-31;1;148387;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;2025-01-01;2025-12-31;Diretoria Estatutária;2.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;37025.81;0.00
01.104.937/0001-70;2025-12-31;1;148387;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;2024-01-01;2024-12-31;Diretoria Estatutária;2.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;281284.35;281284.35
01.104.937/0001-70;2025-12-31;1;148387;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;2023-01-01;2023-12-31;Diretoria Estatutária;2.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;13356.74;13356.74
01.104.937/0001-70;2025-12-31;1;148387;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;2022-01-01;2022-12-31;Diretoria Estatutária;2.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;204130.86;100086.71
01.417.222/0001-77;2025-12-31;2;149402;MRS LOGISTICA S.A.;2025-01-01;2025-12-31;Diretoria Estatutária;4.00;4.00;1858073.03;11148438.19;11148438.19;0.00;0.00;0.00;0.00;0.00
01.417.222/0001-77;2025-12-31;2;149402;MRS LOGISTICA S.A.;2025-01-01;2025-12-31;Conselho de Administração;10.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01.417.222/0001-77;2025-12-31;2;149402;MRS LOGISTICA S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;3.00;3.00;1198490.36;7190942.13;7190942.13;6660378.21;0.00;0.00;0.00;0.00
01.417.222/0001-77;2025-12-31;2;149402;MRS LOGISTICA S.A.;2024-01-01;2024-12-31;Conselho de Administração;10.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01.417.222/0001-77;2025-12-31;2;149402;MRS LOGISTICA S.A.;2023-01-01;2023-12-31;Conselho de Administração;10.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01.417.222/0001-77;2025-12-31;2;149402;MRS LOGISTICA S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;3.00;3.00;1507192.32;9043153.90;9043153.90;9043153.90;0.00;0.00;0.00;0.00
01.417.222/0001-77;2025-12-31;2;149402;MRS LOGISTICA S.A.;2022-01-01;2022-12-31;Conselho de Administração;10.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01.417.222/0001-77;2025-12-31;2;149402;MRS LOGISTICA S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;3.00;3.00;1425911.29;8555467.75;8555467.75;8555467.75;0.00;0.00;0.00;0.00
01.545.826/0001-07;2025-12-31;5;149426;GAFISA S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;6.00;6.00;0.00;4314655.46;4314655.46;4314655.46;0.00;0.00;0.00;0.00
