CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Total_Remuneracao;Orgao_Administracao;Numero_Membros;Total_Remuneracao_Orgao;Numero_Membros_Remunerados;Salario;Beneficios_Diretos_Indiretos;Participacoes_Comites;Outros_Valores_Fixos;Descricao_Outros_Remuneracoes_Fixas;Bonus;Participacao_Resultados;Participacao_Reunioes;Outros_Valores_Variaveis;Comissoes;Descricao_Outros_Remuneracoes_Variaveis;Pos_emprego;Cessacao_Cargo;Baseada_Acoes;Observacao
00.000.208/0001-00;2025-12-31;6;149564;BRB BANCO DE BRASILIA S.A.;2022-01-01;2022-12-31;10093770.59;Diretoria Estatutária;10.00;8612978.57;9.50;4646069.76;0.00;0.00;0.00;;0.00;3966908.81;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros de cada órgão foi especificado conforme instruções contidas no Ofício-circular/CVM/SEP.O campo Salário Pró-Labore da Diretoria Colegiada foi projetado incluindo a Gratificação Natalina.No campo outros (INSS Patronal) corresponde a 22,5%.A PLR é referente a 6 honorários e é paga da seguinte forma: 50% à vista e 50% diferidos para 4 anos, pagos por instrumento baseado em ações.
00.000.208/0001-00;2025-12-31;6;149564;BRB BANCO DE BRASILIA S.A.;2022-01-01;2022-12-31;10093770.59;Conselho de Administração;9.00;841601.22;7.58;841601.22;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros de cada órgão foi especificado conforme instruções contidas no Ofício-circular/CVM/SEP.O campo Salário Pró-Labore da Diretoria Colegiada foi projetado incluindo a Gratificação Natalina.No campo outros (INSS Patronal) corresponde a 22,5%.A PLR é referente a 6 honorários e é paga da seguinte forma: 50% à vista e 50% diferidos para 4 anos, pagos por instrumento baseado em ações.
00.000.208/0001-00;2025-12-31;6;149564;BRB BANCO DE BRASILIA S.A.;2023-01-01;2023-12-31;8348946.76;Conselho Fiscal;5.00;665810.28;4.92;665810.28;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;- O número de membros de cada órgão foi especificado conforme instruções contidas no Ofício- circular/CVM/SEP.
00.000.208/0001-00;2025-12-31;6;149564;BRB BANCO DE BRASILIA S.A.;2023-01-01;2023-12-31;8348946.76;Diretoria Estatutária;10.00;6735203.20;9.67;4891616.82;0.00;0.00;0.00;;0.00;1843586.38;0.00;0.00;0.00;;0.00;0.00;0.00;- O número de membros de cada órgão foi especificado conforme instruções contidas no Ofício- circular/CVM/SEP.- O campo Salário Pró-Labore da Diretoria Colegiada foi projetado incluindo a Gratificação Natalina. - A PLR é referente a 6 honorários e é paga da seguinte forma: 50% à vista e 50% diferidos para 4 anos, pagos por instrumento baseado em ações.
00.000.208/0001-00;2025-12-31;6;149564;BRB BANCO DE BRASILIA S.A.;2023-01-01;2023-12-31;8348946.76;Conselho de Administração;9.00;947933.28;7.00;947933.28;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros de cada órgão foi especificado conforme instruções contidas no Ofício-circular/CVM/SEP.
00.000.208/0001-00;2025-12-31;6;149564;BRB BANCO DE BRASILIA S.A.;2024-01-01;2024-12-31;7539635.61;Conselho Fiscal;5.00;576343.40;4.92;576343.40;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros de cada órgão foi especificado conforme instruções contidas no Ofício- circular/CVM/SEP.O campo Salário Pró-Labore da Diretoria Colegiada foi projetado incluindo a Gratificação Natalina. A PLR é referente a 6 honorários e é paga da seguinte forma: 50% à vista e 50% diferidos para 4 anos, pagos por instrumento baseado em ações.
00.000.208/0001-00;2025-12-31;6;149564;BRB BANCO DE BRASILIA S.A.;2024-01-01;2024-12-31;7539635.61;Diretoria Estatutária;10.00;5975274.97;8.67;4313467.08;0.00;0.00;0.00;;0.00;1661807.89;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros de cada órgão foi especificado conforme instruções contidas no Ofício- circular/CVM/SEP.O campo Salário Pró-Labore da Diretoria Colegiada foi projetado incluindo a Gratificação Natalina. A PLR é referente a 6 honorários e é paga da seguinte forma: 50% à vista e 50% diferidos para 4 anos, pagos por instrumento baseado em ações.
00.000.208/0001-00;2025-12-31;6;149564;BRB BANCO DE BRASILIA S.A.;2024-01-01;2024-12-31;7539635.61;Conselho de Administração;9.00;988017.24;7.00;988017.24;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros de cada órgão foi especificado conforme instruções contidas no Ofício- circular/CVM/SEP.O campo Salário Pró-Labore da Diretoria Colegiada foi projetado incluindo a Gratificação Natalina. A PLR é referente a 6 honorários e é paga da seguinte forma: 50% à vista e 50% diferidos para 4 anos, pagos por instrumento baseado em ações.
00.001.180/0001-26;2025-12-31;2;149095;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2022-01-01;2022-12-31;8921048.92;Conselho de Administração;9.58;459824.38;7.00;459824.38;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2025- CVM/SEP.
00.001.180/0001-26;2025-12-31;2;149095;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2022-01-01;2022-12-31;8921048.92;Diretoria Estatutária;6.33;8084998.44;6.33;4542661.99;723545.97;0.00;0.00;;1671703.65;0.00;0.00;0.00;0.00;;764147.14;0.00;382939.69;O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2025- CVM/SEP. A remuneração baseada em ações paga no exercício de 2022 ocorreu no âmbito do modelo conhecido como "Phantom Share", sem entrega de ações escriturais.
00.001.180/0001-26;2025-12-31;2;149095;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2022-01-01;2022-12-31;8921048.92;Conselho Fiscal;4.92;376226.10;4.92;376226.10;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2025- CVM/SEP.
00.001.180/0001-26;2025-12-31;2;149095;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2023-01-01;2023-12-31;92349167.54;Conselho de Administração;9.00;12035712.26;8.17;6380498.00;0.00;1735486.14;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;3919728.12;O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2025- CVM/SEP.
00.001.180/0001-26;2025-12-31;2;149095;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2023-01-01;2023-12-31;92349167.54;Diretoria Estatutária;9.83;79598409.85;9.83;14665902.31;2514359.88;0.00;0.00;;35157652.99;0.00;0.00;0.00;0.00;;2036240.02;550000.00;24674254.65;O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2025- CVM/SEP.
00.001.180/0001-26;2025-12-31;2;149095;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2023-01-01;2023-12-31;92349167.54;Conselho Fiscal;5.00;715045.43;5.00;715045.43;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2024-CVM/SEP.
00.001.180/0001-26;2025-12-31;2;149095;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2024-01-01;2024-12-31;73052804.50;Conselho de Administração;9.00;11341724.13;7.00;7322000.01;0.00;99996.00;0.00;-;0.00;0.00;0.00;0.00;0.00;-;0.00;0.00;3919728.12;-
00.001.180/0001-26;2025-12-31;2;149095;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2024-01-01;2024-12-31;73052804.50;Diretoria Estatutária;11.75;61057051.59;11.75;17985833.34;1222175.71;0.00;0.00;-;25194362.50;0.00;0.00;0.00;0.00;-;1984810.87;770000.00;13899869.17;-
00.001.180/0001-26;2025-12-31;2;149095;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2024-01-01;2024-12-31;73052804.50;Conselho Fiscal;4.33;654028.78;4.33;654028.78;0.00;0.00;0.00;-;0.00;0.00;0.00;0.00;0.00;-;0.00;0.00;0.00;-
00.001.180/0001-26;2025-12-31;2;149095;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2025-01-01;2025-12-31;82719936.00;Conselho de Administração;10.00;14203141.00;10.00;14203141.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;
00.001.180/0001-26;2025-12-31;2;149095;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2025-01-01;2025-12-31;82719936.00;Diretoria Estatutária;12.00;67722708.00;12.00;19058094.00;1317727.00;0.00;0.00;;30575974.00;0.00;0.00;0.00;0.00;;2263450.00;0.00;14507463.00;
00.001.180/0001-26;2025-12-31;2;149095;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2025-01-01;2025-12-31;82719936.00;Conselho Fiscal;5.00;794087.00;5.00;794087.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;
00.070.698/0001-11;2025-12-31;2;149313;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2022-01-01;2022-12-31;3666924.00;Conselho Fiscal;5.00;477914.00;5.00;393631.00;78726.00;0.00;5557.00; Pró-labore (salário) Benefício previdenciário, saúde e odontológico Encargos Sociais e  Outros (ressarcimentos diversos);0.00;0.00;0.00;0.00;0.00;A Companhia não adota aos Fiscais a Remuneração Variável.;0.00;0.00;0.00;0
00.070.698/0001-11;2025-12-31;2;149313;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2022-01-01;2022-12-31;3666924.00;Diretoria Estatutária;4.00;2423600.00;4.00;1436679.00;986921.00;0.00;0.00; Pró-labore (salário)  Benefícios (Diretores e Diretores empregados)  Encargos Sociais e  Outros.;0.00;0.00;0.00;0.00;0.00;A Companhia não adota aos Administradores a Remuneração Variável.;0.00;0.00;0.00;
00.070.698/0001-11;2025-12-31;2;149313;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2022-01-01;2022-12-31;3666924.00;Conselho de Administração;9.00;765410.00;9.00;629809.00;125961.00;0.00;9640.00;Não há outras remunerações fixas além do pró-labore.;0.00;0.00;0.00;0.00;0.00;A Companhia não adota aos Administradores a Remuneração Variável.;0.00;0.00;0.00;
00.070.698/0001-11;2025-12-31;2;149313;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2023-01-01;2023-12-31;4791273.00;Conselho Fiscal;5.00;523250.00;5.00;441208.00;0.00;0.00;82042.00; Pró-labore (salário) Benefício previdenciário, saúde e odontológico Encargos Sociais e  Outros (ressarcimentos diversos).;0.00;0.00;0.00;0.00;0.00;A Companhia não adota aos Administradores a Remuneração Variável.;0.00;0.00;0.00;
00.070.698/0001-11;2025-12-31;2;149313;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2023-01-01;2023-12-31;4791273.00;Diretoria Estatutária;4.00;3362736.00;4.00;1765796.00;946935.00;0.00;650005.00; Pró-labore (salário)  Benefícios (Diretores e Diretores empregados)  Encargos Sociais e  Outros.;0.00;0.00;0.00;0.00;0.00;A Companhia não adota aos Administradores a Remuneração Variável.;0.00;0.00;0.00;
00.070.698/0001-11;2025-12-31;2;149313;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2023-01-01;2023-12-31;4791273.00;Conselho de Administração;9.00;905287.00;9.00;751657.00;0.00;0.00;153630.00; Pró-labore (salário) Benefício previdenciário, saúde e odontológico Encargos Sociais e  Outros (ressarcimentos diversos);0.00;0.00;0.00;0.00;0.00;A Companhia não adota aos Administradores a Remuneração Variável.;0.00;0.00;0.00;
00.070.698/0001-11;2025-12-31;2;149313;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2024-01-01;2024-12-31;6070474.00;Conselho de Administração;9.00;1489528.00;9.00;869301.00;439898.00;0.00;180329.00;Encargos Sociais;0.00;0.00;0.00;0.00;0.00;Não há remuneração variável;0.00;0.00;0.00;
00.070.698/0001-11;2025-12-31;2;149313;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2024-01-01;2024-12-31;6070474.00;Diretoria Estatutária;4.00;3757025.00;4.00;1931782.00;1137851.00;687392.00;0.00;Encargos Sociais;0.00;0.00;0.00;0.00;0.00;Não há remuneração variável;0.00;0.00;0.00;0
00.070.698/0001-11;2025-12-31;2;149313;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2024-01-01;2024-12-31;6070474.00;Conselho Fiscal;5.00;823921.00;5.00;482945.00;244387.00;0.00;96589.00;Encargos Sociais;0.00;0.00;0.00;0.00;0.00;Não há remuneração variável;0.00;0.00;0.00;
00.070.698/0001-11;2025-12-31;2;149313;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2025-01-01;2025-12-31;6044632.00;Conselho de Administração;9.00;1088142.00;9.00;877726.00;0.00;0.00;210416.00;Encargos Sociais;0.00;0.00;0.00;0.00;0.00;Não há remuneração variável;0.00;0.00;0.00;
00.070.698/0001-11;2025-12-31;2;149313;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2025-01-01;2025-12-31;6044632.00;Diretoria Estatutária;4.00;4353903.00;4.00;1950503.00;1700628.00;0.00;702772.00;Encargos Sociais;0.00;0.00;0.00;0.00;0.00;Não há remuneração variável;0.00;0.00;0.00;
00.070.698/0001-11;2025-12-31;2;149313;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2025-01-01;2025-12-31;6044632.00;Conselho Fiscal;5.00;602587.00;5.00;487626.00;0.00;0.00;114961.00;Encargos Sociais;0.00;0.00;0.00;0.00;0.00;Não há remuneração variável;0.00;0.00;0.00;
00.080.671/0001-00;2025-12-31;1;148672;CARAMURU ALIMENTOS S.A.;2022-01-01;2022-12-31;26231356.88;Conselho Fiscal;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;
00.080.671/0001-00;2025-12-31;1;148672;CARAMURU ALIMENTOS S.A.;2022-01-01;2022-12-31;26231356.88;Diretoria Estatutária;12.00;18672463.85;12.00;6836444.97;3505924.63;0.00;0.00;;0.00;8330094.25;0.00;0.00;0.00;;0.00;0.00;0.00;
00.080.671/0001-00;2025-12-31;1;148672;CARAMURU ALIMENTOS S.A.;2022-01-01;2022-12-31;26231356.88;Conselho de Administração;7.00;7558893.03;7.00;5709383.10;1849509.93;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;
00.080.671/0001-00;2025-12-31;1;148672;CARAMURU ALIMENTOS S.A.;2023-01-01;2023-12-31;22671888.73;Conselho de Administração;9.00;8524885.88;9.00;7073429.30;1451456.58;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;
00.080.671/0001-00;2025-12-31;1;148672;CARAMURU ALIMENTOS S.A.;2023-01-01;2023-12-31;22671888.73;Diretoria Estatutária;12.00;14147002.85;12.00;6720935.60;2852135.06;0.00;0.00;;0.00;4573932.19;0.00;0.00;0.00;;0.00;0.00;0.00;
00.080.671/0001-00;2025-12-31;1;148672;CARAMURU ALIMENTOS S.A.;2023-01-01;2023-12-31;22671888.73;Conselho Fiscal;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;
00.080.671/0001-00;2025-12-31;1;148672;CARAMURU ALIMENTOS S.A.;2024-01-01;2024-12-31;20920116.50;Conselho Fiscal;0.00;0.00;0.00;0.00;0.00;0.00;0.00;N/A;0.00;0.00;0.00;0.00;0.00;N/A;0.00;0.00;0.00;N/A
00.080.671/0001-00;2025-12-31;1;148672;CARAMURU ALIMENTOS S.A.;2024-01-01;2024-12-31;20920116.50;Diretoria Estatutária;12.00;13840813.85;12.00;7197973.79;4042200.25;0.00;0.00;N/A;0.00;2600639.81;0.00;0.00;0.00;N/A;0.00;0.00;0.00;N/A
00.080.671/0001-00;2025-12-31;1;148672;CARAMURU ALIMENTOS S.A.;2024-01-01;2024-12-31;20920116.50;Conselho de Administração;9.00;7079302.65;9.00;5806172.44;1273130.21;0.00;0.00;N/A;0.00;0.00;0.00;0.00;0.00;N/A;0.00;0.00;0.00;N/A
00.194.724/0001-13;2025-12-31;1;148833;AUREN OPERAÇÕES S.A.;2022-01-01;2022-12-31;355200.00;Conselho de Administração;3.00;355200.00;1.00;355200.00;0.00;0.00;0.00;-;0.00;0.00;0.00;0.00;0.00;-;0.00;0.00;0.00;O número de membros do Conselho de Administração e da Diretoria Estatutária da Companhia foram calculados em linha com as disposições do Ofício Circular/Anual- 2025- CVM/SEP.
00.194.724/0001-13;2025-12-31;1;148833;AUREN OPERAÇÕES S.A.;2022-01-01;2022-12-31;355200.00;Diretoria Estatutária;2.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros do Conselho de Administração e da Diretoria Estatutária da Companhia foram calculados em linha com as disposições do Ofício Circular/Anual- 2025- CVM/SEP.
00.194.724/0001-13;2025-12-31;1;148833;AUREN OPERAÇÕES S.A.;2022-01-01;2022-12-31;355200.00;Conselho Fiscal;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;
00.194.724/0001-13;2025-12-31;1;148833;AUREN OPERAÇÕES S.A.;2023-01-01;2023-12-31;358160.00;Conselho de Administração;3.00;358160.00;1.00;358160.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros do Conselho de Administração e da Diretoria Estatutária da Companhia foram calculados em linha com as disposições do Ofício Circular/Anual- 2025- CVM/SEP.
00.194.724/0001-13;2025-12-31;1;148833;AUREN OPERAÇÕES S.A.;2023-01-01;2023-12-31;358160.00;Diretoria Estatutária;2.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros do Conselho de Administração e da Diretoria Estatutária da Companhia foram calculados em linha com as disposições do Ofício Circular/Anual- 2025- CVM/SEP.
